Frame,Time,FL,PEN,ANG,FL_px,TimTrackAlpha,RawTimTrackAlpha,FascicleCandidateIdx,FascicleRawRejected,FascicleSelectionReason,SuperApoRejected,DeepApoRejected,SuperApoSoftDownweighted,DeepApoSoftDownweighted,SuperApoGateReason,DeepApoGateReason,R_t_x_variance,R_t_alpha_variance,R_t_length_variance,R_t_theta_variance,kalman_measurement_r_scale,kalman_measurement_r_scale_theta,kalman_measurement_r_scale_length
94,3.76,170.941370666465,-4.7656388290121265,0.05926826456744853,2589.4077450068066,2.5,2.5,4,False,raw alpha jump 0.00deg within limit,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
95,3.8,164.07430727216186,-4.76657274463792,0.060545997288695724,2485.3859563120373,2.5,2.5,4,False,raw alpha jump 0.00deg within limit,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
96,3.84,168.0953745705558,-4.764494020403843,0.06035144808412368,2546.296798228537,2.5,2.5,4,False,raw alpha jump 0.00deg within limit,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
97,3.88,172.89111774974023,-4.760086932002602,0.060155780730002044,2618.94237538068,2.5,2.5,5,False,raw alpha jump 0.00deg within limit,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
98,3.92,161.75508011937964,-4.7657022437031165,0.06223839342772547,2450.2544680805436,2.5,2.5,4,False,raw alpha jump 0.00deg within limit,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
99,3.96,148.35124194889988,-4.770324611707029,0.06460264957209802,2247.214079225939,2.0,2.0,3,False,raw alpha jump 0.50deg within limit,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
100,4.0,135.19517753253328,-4.772425871789257,0.06733151408910333,2047.9269496052377,2.5,2.5,4,False,raw alpha jump 0.50deg within limit,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
101,4.04,122.27874987050454,-4.773859531767901,0.07021158931197798,1852.2698205236188,2.5,2.5,4,False,raw alpha jump 0.00deg within limit,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
102,4.08,106.49673261650524,-4.777009988782484,0.07294773943967145,1613.2049437766473,2.5,2.5,4,False,raw alpha jump 0.00deg within limit,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
103,4.12,92.42661969237943,-4.779250962287141,0.07557029417832081,1400.0718722632623,2.5,2.5,4,False,raw alpha jump 0.00deg within limit,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
104,4.16,86.92323627132632,-4.781198160715641,0.07681150874417594,1316.707010973937,2.5,2.5,4,False,raw alpha jump 0.00deg within limit,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
105,4.2,86.93416453668253,-4.781092397783938,0.07808886240876736,1316.8725515615813,2.5,2.5,4,False,raw alpha jump 0.00deg within limit,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
106,4.24,87.170294485804,-4.782414392617619,0.0788765223043202,1320.4494312642498,2.5,2.5,4,False,raw alpha jump 0.00deg within limit,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
